TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T014499_2.00	F028_2.00	TS12_2.00	.	.	ENSDARG00000060925	jarid2a	Danio_rerio	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014500_2.00	F028_2.00	TS12_2.00	M00115_2.00	MS02_2.00	ENSDARG00000067729	arid3c	Danio_rerio	I	ARID/BRIGHT	ARID	1	0.42223096627141105	Arid3a_3875	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014501_2.00	F028_2.00	TS12_2.00	M01657_2.00	MS64_2.00	ENSDARG00000069988	arid6	Danio_rerio	D	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH5120	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014502_2.00	F028_2.00	TS12_2.00	M00115_2.00	MS02_2.00	ENSDARG00000070843	arid3a	Danio_rerio	I	ARID/BRIGHT	ARID	1	0.42223096627141105	Arid3a_3875	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014503_2.00	F028_2.00	TS12_2.00	M00116_2.00	MS02_2.00	ENSDARG00000077120	arid5a	Danio_rerio	I	ARID/BRIGHT	ARID	1	0.42223096627141105	Arid5a_3770	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014504_2.00	F028_2.00	TS12_2.00	.	.	ENSDARG00000101891	arid1ab	Danio_rerio	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014505_2.00	F028_2.00	TS12_2.00	M00115_2.00	MS02_2.00	ENSDARG00000104034	arid3b	Danio_rerio	I	ARID/BRIGHT	ARID	1	0.42223096627141105	Arid3a_3875	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T016866_2.00	F036_2.00	TS12_2.00	.	.	ENSDARG00000007413	arid2	Danio_rerio	N	ARID/BRIGHT,RFX	ARID,RFX_DNA_binding	2	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017379_2.00	F039_2.00	TS12_2.00	M01678_2.00	MS64_2.00	ENSDARG00000021378	phf21ab	Danio_rerio	D	AT hook	AT_hook	1	0.989594959467439	pTH9254	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017380_2.00	F039_2.00	TS12_2.00	M09769_2.00	MS59_2.00	ENSDARG00000028335	hmga1a	Danio_rerio	I	AT hook	AT_hook	1	0.989594959467439	V$HMGIY_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017381_2.00	F039_2.00	TS12_2.00	M00751_2.00	MS17_2.00	ENSDARG00000069912	hmga2	Danio_rerio	I	AT hook	AT_hook	1	0.989594959467439	pTH3046	PBM	DREAM_contest	PBM	Weirauch	2013	23354101	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017382_2.00	F039_2.00	TS12_2.00	M01679_2.00	MS64_2.00	ENSDARG00000075560	kmt2cb	Danio_rerio	D	AT hook	AT_hook	1	0.989594959467439	pTH7876	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T024982_2.00	F062_2.00	TS12_2.00	.	.	ENSDARG00000041910	znf512	Danio_rerio	N	BED ZF,C2H2 ZF	zf-BED,zf-C2H2	2	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T024983_2.00	F062_2.00	TS12_2.00	.	.	ENSDARG00000071055	ZNF512B	Danio_rerio	N	BED ZF,C2H2 ZF	zf-BED,zf-C2H2	2	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T024984_2.00	F062_2.00	TS12_2.00	.	.	ENSDARG00000096428	si:dkey-217d24.6	Danio_rerio	N	BED ZF,C2H2 ZF	zf-BED,zf-C2H2	2	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T024985_2.00	F062_2.00	TS12_2.00	.	.	ENSDARG00000102436	si:ch211-194b1.1	Danio_rerio	N	BED ZF,C2H2 ZF	zf-BED,zf-C2H2	2	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025943_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000024306	zbed4	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025944_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000025346	znf277	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025945_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000041359	zgc:161969	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025946_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000070465	si:dkey-13n23.3	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025947_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000088036	si:dkey-106g10.7	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025948_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000092816	si:dkey-93n13.2	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025949_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000094038	si:ch211-226f6.1	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025950_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000094214	si:dkeyp-117b8.4	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025951_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000095007	fam60al	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025952_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000095549	si:dkeyp-106c3.2	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025953_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000096816	si:dkeyp-106c3.2	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025954_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000098767	CABZ01007829.1	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025955_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000101373	CR356230.1	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025956_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000102339	si:dkey-5n7.2	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025957_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000102714	si:dkey-13n23.3	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025958_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000102729	CR407590.1	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025959_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000104891	si:dkey-109j17.5	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T025960_2.00	F077_2.00	TS12_2.00	.	.	ENSDARG00000105078	CABZ01002809.1	Danio_rerio	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033617_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000002707	her11	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033618_2.00	F082_2.00	TS12_2.00	M04148_2.00	MS62_2.00	ENSDARG00000003469	neurod4	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	NEUROD1_FL_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033619_2.00	F082_2.00	TS12_2.00	M01735_2.00	MS64_2.00	ENSDARG00000003631	clockb	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5056	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033620_2.00	F082_2.00	TS12_2.00	M01741_2.00	MS64_2.00	ENSDARG00000003732	mitfa	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5465	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033621_2.00	F082_2.00	TS12_2.00	M00119_2.00	MS02_2.00	ENSDARG00000004060	bhlhe40	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	Bhlhb2_1274	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033622_2.00	F082_2.00	TS12_2.00	M01740_2.00	MS64_2.00	ENSDARG00000004714	tcf12	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5071	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033623_2.00	F082_2.00	TS12_2.00	M01740_2.00	MS64_2.00	ENSDARG00000005915	tcf3a	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5071	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033624_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000006003	mycla	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033625_2.00	F082_2.00	TS12_2.00	M01726_2.00	MS64_2.00	ENSDARG00000006514	her6	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5059	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033626_2.00	F082_2.00	TS12_2.00	M01751_2.00	MS64_2.00	ENSDARG00000006791	arntl1a	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5064	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033627_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000006837	mycn	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033628_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000007097	her13	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033629_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000007241	mycb	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033630_2.00	F082_2.00	TS12_2.00	M09463_2.00	MS28_2.00	ENSDARG00000007277	myf5	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	GM-Myf5_GSE24852	Misc	HOMER	Misc	Heinz	2010	20513432	January 2016	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033631_2.00	F082_2.00	TS12_2.00	M04150_2.00	MS62_2.00	ENSDARG00000008305	hand2	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	HAND2_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033632_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000008796	her5	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033633_2.00	F082_2.00	TS12_2.00	M04098_2.00	MS62_2.00	ENSDARG00000009438	myog	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	MYOG_eDBD_HT-SELEX_1	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033634_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000009822	her4.4	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033635_2.00	F082_2.00	TS12_2.00	M01728_2.00	MS64_2.00	ENSDARG00000010794	tfeb	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5072	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033636_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000011635	scxb	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033637_2.00	F082_2.00	TS12_2.00	M01735_2.00	MS64_2.00	ENSDARG00000011703	clocka	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5056	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033638_2.00	F082_2.00	TS12_2.00	M01722_2.00	MS64_2.00	ENSDARG00000013441	hey2	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5102	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033639_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000013789	sim1b	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033640_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000014463	usf1l	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033641_2.00	F082_2.00	TS12_2.00	M04156_2.00	MS62_2.00	ENSDARG00000014479	ptf1a	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	PTF1A_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033642_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000014722	her1	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033643_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000015876	npas1	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033644_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000016363	her8a	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033645_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000016536	npas2	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033646_2.00	F082_2.00	TS12_2.00	M02795_2.00	MS33_2.00	ENSDARG00000016854	neurod2	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	NEUROD2_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033647_2.00	F082_2.00	TS12_2.00	M02799_2.00	MS33_2.00	ENSDARG00000016951	neurog3	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	NEUROG2_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033648_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000017078	mespaa	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033649_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000017917	her7	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033650_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000017929	ncoa2	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033651_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000019335	hes6	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033652_2.00	F082_2.00	TS12_2.00	M01715_2.00	MS64_2.00	ENSDARG00000019457	tfe3b	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5057	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033653_2.00	F082_2.00	TS12_2.00	M04148_2.00	MS62_2.00	ENSDARG00000019566	neurod1	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	NEUROD1_FL_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033654_2.00	F082_2.00	TS12_2.00	M08052_2.00	MS31_2.00	ENSDARG00000019646	twist3	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	MA1123.1	ChIP-seq	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033655_2.00	F082_2.00	TS12_2.00	M08734_2.00	MS27_2.00	ENSDARG00000019930	tal1	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	TAL1_HUMAN.H11MO.0.A	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033656_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000020046	ahr1a	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033657_2.00	F082_2.00	TS12_2.00	M04076_2.00	MS62_2.00	ENSDARG00000020228	usf2	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	USF2_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033658_2.00	F082_2.00	TS12_2.00	M02795_2.00	MS33_2.00	ENSDARG00000020794	neurod6b	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	NEUROD2_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033659_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000021833	ahr2	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033660_2.00	F082_2.00	TS12_2.00	M01719_2.00	MS64_2.00	ENSDARG00000021855	arnt	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH5111	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033661_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000023316	sim1a	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033662_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000023537	ahr1b	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033663_2.00	F082_2.00	TS12_2.00	M00121_2.00	MS02_2.00	ENSDARG00000024844	max	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	Max_3863	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033664_2.00	F082_2.00	TS12_2.00	M00756_2.00	MS17_2.00	ENSDARG00000025495	nhlh2	Danio_rerio	I	bHLH	HLH	1	0.837833807768996	pTH3037	PBM	DREAM_contest	PBM	Weirauch	2013	23354101	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033665_2.00	F082_2.00	TS12_2.00	.	.	ENSDARG00000029544	id2b	Danio_rerio	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
